"table_name","column_name","full_data_type","is_nullable","column_default","constraints"
"categories","id","integer(32,0)","NO","nextval('categories_id_seq'::regclass)","FOREIGN KEY (categories_parent_id_fkey), PRIMARY KEY (categories_pkey)"
"categories","name","character varying(100)","NO",,"Aucune contrainte"
"categories","slug","character varying(100)","NO",,"UNIQUE (categories_slug_key)"
"categories","parent_id","integer(32,0)","YES",,"FOREIGN KEY (categories_parent_id_fkey)"
"categories","path","text","NO",,"Aucune contrainte"
"categories","level","integer(32,0)","YES","0","Aucune contrainte"
"categories","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","Aucune contrainte"
"categories","updated_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","Aucune contrainte"
"product_categories","product_id","integer(32,0)","NO",,"FOREIGN KEY (product_categories_product_id_fkey), PRIMARY KEY (product_categories_pkey)"
"product_categories","category_id","integer(32,0)","NO",,"FOREIGN KEY (product_categories_category_id_fkey), PRIMARY KEY (product_categories_pkey)"
"products","id","integer(32,0)","NO","nextval('products_id_seq'::regclass)","PRIMARY KEY (products_pkey)"
"products","nom_produit","text","NO",,"Aucune contrainte"
"products","nom_produit_avec_combinaison","text","YES",,"Aucune contrainte"
"products","code_reference","character varying(50)","YES",,"Aucune contrainte"
"products","external_id","integer(32,0)","YES",,"Aucune contrainte"
"products","disponible_pour_commande","boolean","YES","false","Aucune contrainte"
"products","quantite","integer(32,0)","YES","0","Aucune contrainte"
"products","lien_produit","text","YES",,"UNIQUE (products_lien_produit_unique)"
"products","prix_de_gros","numeric(10,2)","YES",,"Aucune contrainte"
"products","prix_final_ht","numeric(10,2)","YES",,"Aucune contrainte"
"products","prix_final_ttc","numeric(10,2)","YES",,"Aucune contrainte"
"products","image_url","text","YES",,"Aucune contrainte"
"products","image_alt","text","YES",,"Aucune contrainte"
"products","tags","text","YES",,"Aucune contrainte"
"products","category_names","text","YES",,"Aucune contrainte"
"products","variant_hash","character varying(32)","YES",,"Aucune contrainte"
"products","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","Aucune contrainte"
"products","updated_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","Aucune contrainte"
"products","import_source","character varying(50)","YES","'csv'::character varying","Aucune contrainte"
"products","import_date","timestamp without time zone","YES","CURRENT_TIMESTAMP","Aucune contrainte"
